"article_cond","SID","item","n","comment"
"control","s092","4",NA,NA
"control","s093","10",NA,NA
"control","s093","11",NA,NA
"control","s093","12",NA,NA
"control","s093","9",NA,NA
"control","s094","10",7,"The risks associated with eating deli meat"
"control","s094","11",7,"Bananas provide fuel for exercise and recovery."
"control","s094","12",14,"There is a large mass of garbage floating in the ocean and its growing."
"control","s094","9",10,"The Endangered Species Act  is going to be changed possibly."
"control","s095","10",14,"The article is about the potential merits of skipping breakfast before an early workout"
"control","s095","11",9,"This article is about taking/consuming antioxidants after exercising"
"control","s095","12",13,"This article is about cows and how much they contribute to climate change"
"control","s095","9",12,"This article is about the health concerns regarding white and red meat"
"control","s096","5",NA,NA
"control","s096","6",NA,NA
"control","s096","7",NA,NA
"control","s096","8",NA,NA
"control","s097","1",15,"It's about a study done to determine if obesity increased the risk for cardiovascular health."
"control","s097","2",12,"A fitness trend involving a heart monitor for high-intensity interval training."
"control","s097","3",15,"It's about the difficulty in finding information about climate risks, such as land being underwater."
"control","s097","4",9,"This suggests that exercise by yourself isn't as effective."
"control","s098","5",NA,NA
"control","s098","6",NA,NA
"control","s098","7",NA,NA
"control","s098","8",NA,NA
"control","s099","10",NA,NA
"control","s099","11",NA,NA
"control","s099","12",NA,NA
"control","s099","9",NA,NA
"control","s100","10",NA,NA
"control","s100","11",NA,NA
"control","s100","12",NA,NA
"control","s100","9",NA,NA
"control","s101","10",15,"This article discusses how issues with hearing may lead to a greater incidence of accidents."
"control","s101","11",17,"This article addresses the question of how much influence parents have on the obesity of their children."
"control","s101","12",13,"Analysis seem to show that this June was the hottest in reported history."
"control","s101","9",12,"This article discusses the potential impact of heart health on Parkinson's disease."
"control","s102","1",NA,NA
"control","s102","2",NA,NA
"control","s102","3",NA,NA
"control","s102","4",NA,NA
"control","s103","5",15,"This article states that conservative groups are trying to push trumps rollback rules for automobiles."
"control","s103","6",14,"Research shows that cycling and swimming does not impact the bones all that much"
"control","s103","7",20,"This comment is about people who cut back on refined sugars lost weight without worrying about calories or portion size"
"control","s103","8",26,"This article is about how exercise can keep you young and it specifically states that bikers are healthier and biologically younger than the rest of us."
"control","s104","10",NA,NA
"control","s104","11",NA,NA
"control","s104","12",NA,NA
"control","s104","9",NA,NA
"control","s105","10",NA,NA
"control","s105","11",NA,NA
"control","s105","12",NA,NA
"control","s105","9",NA,NA
"control","s106","5",NA,NA
"control","s106","6",NA,NA
"control","s106","7",NA,NA
"control","s106","8",NA,NA
"control","s107","5",NA,NA
"control","s107","6",NA,NA
"control","s107","7",NA,NA
"control","s107","8",NA,NA
"control","s108","5",NA,NA
"control","s108","6",NA,NA
"control","s108","7",NA,NA
"control","s108","8",NA,NA
"control","s109","10",NA,NA
"control","s109","11",NA,NA
"control","s109","12",NA,NA
"control","s109","9",NA,NA
"control","s110","10",NA,NA
"control","s110","11",NA,NA
"control","s110","12",NA,NA
"control","s110","9",NA,NA
"control","s111","10",NA,NA
"control","s111","11",NA,NA
"control","s111","12",NA,NA
"control","s111","9",NA,NA
"control","s112","1",NA,NA
"control","s112","2",NA,NA
"control","s112","3",NA,NA
"control","s112","4",NA,NA
"control","s113","10",6,"Skipping school to protest climate change"
"control","s113","11",10,"That exercise alone is not the key to weight loss"
"control","s113","12",7,"Being fit is good for your health"
"control","s113","9",3,"Protesting climate change"
"control","s114","10",20,"People who are in relationships often don't know how to help their partners with problems they're having like eating disorders."
"control","s114","11",8,"A description of alternatives to disposable cleaning products."
"control","s114","12",10,"Some companies believe that climate change will cost them money."
"control","s114","9",14,"If there's a drought, you need to know how to prevent and fight fires."
"control","s115","5",NA,NA
"control","s115","6",NA,NA
"control","s115","7",NA,NA
"control","s115","8",NA,NA
"control","s116","10",NA,NA
"control","s116","11",NA,NA
"control","s116","12",NA,NA
"control","s116","9",NA,NA
"control","s117","1",12,"conservatives destroying  the environment again, and using big money to do it"
"control","s117","2",4,"learn how to recycle"
"control","s117","3",6,"Processed food is bad for you..."
"control","s117","4",8,"bananas are healthier than processed drinks for athletes"
"control","s118","10",NA,NA
"control","s118","11",NA,NA
"control","s118","12",NA,NA
"control","s118","9",NA,NA
"control","s119","1",NA,NA
"control","s119","2",NA,NA
"control","s119","3",NA,NA
"control","s119","4",NA,NA
"control","s120","5",11,"One billionaire has a large impact on the use of coal."
"control","s120","6",6,"How to reduce your carbon footprint."
"control","s120","7",5,"Automakers reactions to climate science."
"control","s120","8",12,"Most people that are opposed to GMOs don't know much about them."
"control","s121","1",14,"Middle of America states are now suing big oil with regard to climate lawsuits."
"control","s121","2",17,"Greta who is famous as a global climate activist, has been through a lot in her life."
"control","s121","3",11,"A supplement might assist in people with obesity or metabolic disorders."
"control","s121","4",12,"Ways to prevent kidney stones include diet changes in food and water."
"control","s122","10",NA,NA
"control","s122","11",NA,NA
"control","s122","12",NA,NA
"control","s122","9",NA,NA
"control","s123","1",NA,NA
"control","s123","2",NA,NA
"control","s123","3",NA,NA
"control","s123","4",NA,NA
"control","s124","10",4,"Flavanoids protect against cancers."
"control","s124","11",10,"AI can possibly be used to treat and prevent cancer"
"control","s124","12",9,"This article is about conditions that would cause flooding"
"control","s124","9",14,"The governerment is giving out vouchers to help people buy electric and hybrid cars"
"control","s125","10",NA,NA
"control","s125","11",NA,NA
"control","s125","12",NA,NA
"control","s125","9",NA,NA
"control","s126","5",NA,NA
"control","s126","6",NA,NA
"control","s126","7",NA,NA
"control","s126","8",NA,NA
"control","s127","5",NA,NA
"control","s127","6",NA,NA
"control","s127","7",NA,NA
"control","s127","8",NA,NA
"control","s128","1",8,"How diet quality is important to weight loss"
"control","s128","2",11,"Conservative groups and energy giants wanting to rewrite car emissions rules"
"control","s128","3",6,"The benefits of express weight training"
"control","s128","4",8,"People trying to remove the protections for species"
"control","s129","10",NA,NA
"control","s129","11",NA,NA
"control","s129","12",NA,NA
"control","s129","9",NA,NA
"control","s130","10",19,"This article tells us that rare beef and chicken or pork have the same effect on our cholesterol level."
"control","s130","11",23,"Messages from Climate control czars as well as what to do with your holiday leftovers.  Don't know how these two things are similar....."
"control","s130","12",20,"Good advice to just purchase food you will use for your next meal and don't purchase food for future meals."
"control","s130","9",30,"Cow apparently fart too much & contribute to global warming and it really bothers some people.  Let's just leave the cows alone.  Not familiar with Trump's missing a climate report deadline?"
"control","s131","5",9,"Apparently more states are suing businesses over climate destruction."
"control","s131","6",9,"New climate-fueled wildfires are occurring in new places."
"control","s131","7",8,"More avalanches are occurring due to climate change"
"control","s131","8",8,"Puff piece about dancing as a health gimmick."
"control","s132","10",NA,NA
"control","s132","11",NA,NA
"control","s132","12",NA,NA
"control","s132","9",NA,NA
"control","s133","1",NA,NA
"control","s133","2",NA,NA
"control","s133","3",NA,NA
"control","s133","4",NA,NA
"control","s134","5",14,"This article talks about campaign ads that are focused on global warming/climate change."
"control","s134","6",9,"Engaging in cardiovascular fitness can help prevent developing dementia."
"control","s134","7",16,"Drivers in China, Australia and Europe are purchasing more SUVs, which is bad for the environment."
"control","s134","8",7,"Drinking sugary drinks can lower your lifespan."
"control","s135","1",NA,NA
"control","s135","2",NA,NA
"control","s135","3",NA,NA
"control","s135","4",NA,NA
"control","s136","1",13,"This article is about how people of those with eating disorders can help."
"control","s136","2",18,"This article is about how people walk differently based on where they live and who they are around."
"control","s136","3",14,"Before school exercise programs help kids to be happier and to have more energy."
"control","s136","4",17,"There is a lot of planet left on our planet because of the fact it won't degrade."
"control","s137","10",NA,NA
"control","s137","11",NA,NA
"control","s137","12",NA,NA
"control","s137","9",NA,NA
"control","s138","10",NA,NA
"control","s138","11",NA,NA
"control","s138","12",NA,NA
"control","s138","9",NA,NA
"control","s139","10",NA,NA
"control","s139","11",NA,NA
"control","s139","12",NA,NA
"control","s139","9",NA,NA
"control","s140","5",27,"Researchers are now using computers and artificial intelligence to track medical history of cancer patients to hopefully predict, treat and possibly prevent it in others going forward."
"control","s140","6",19,"Less people are insured against flooding even though their risk of flood damage has increased due to climate change."
"control","s140","7",19,"The article looks to provide some information about flooding, the relationship to climate change and how to stay safe."
"control","s140","8",34,"There's a relationship between extra weight and how it contributes to cancers. The article also seems to have tracked the highest and lowest rates of these associated cancers by regions in the United States."
"control","s141","10",NA,NA
"control","s141","11",NA,NA
"control","s141","12",NA,NA
"control","s141","9",NA,NA
"control","s142","5",10,"being fit and healthy can lead to a longer life."
"control","s142","6",13,"obesity puts you at higher risk for cardiovascular disease and a shorter life."
"control","s142","7",13,"scientists don't have much understanding about CBD and what it does to people."
"control","s142","8",12,"article explains the pros and cons of both paper and plastic bags."
"control","s143","10",9,"Cholesterol level in terms of white and red meat"
"control","s143","11",5,"Buy less produce each trip"
"control","s143","12",4,"Eating meals and exercise"
"control","s143","9",4,"Vitamin D and pregnancy"
"control","s144","10",NA,NA
"control","s144","11",NA,NA
"control","s144","12",NA,NA
"control","s144","9",NA,NA
"control","s145","1",NA,NA
"control","s145","2",NA,NA
"control","s145","3",NA,NA
"control","s145","4",NA,NA
"control","s146","1",NA,NA
"control","s146","2",NA,NA
"control","s146","3",NA,NA
"control","s146","4",NA,NA
"control","s147","5",NA,NA
"control","s147","6",NA,NA
"control","s147","7",NA,NA
"control","s147","8",NA,NA
"control","s148","10",NA,NA
"control","s148","11",NA,NA
"control","s148","12",NA,NA
"control","s148","9",NA,NA
"control","s149","1",NA,NA
"control","s149","2",NA,NA
"control","s149","3",NA,NA
"control","s149","4",NA,NA
"control","s150","1",NA,NA
"control","s150","2",NA,NA
"control","s150","3",NA,NA
"control","s150","4",NA,NA
"control","s151","5",NA,NA
"control","s151","6",NA,NA
"control","s151","7",NA,NA
"control","s151","8",NA,NA
"control","s152","1",NA,NA
"control","s152","2",NA,NA
"control","s152","3",NA,NA
"control","s152","4",NA,NA
"control","s153","10",NA,NA
"control","s153","11",NA,NA
"control","s153","12",NA,NA
"control","s153","9",NA,NA
"control","s154","10",NA,NA
"control","s154","11",NA,NA
"control","s154","12",NA,NA
"control","s154","9",NA,NA
"control","s155","1",25,"that the earth is littered with billions of tons of plastic since the 50's and it will be here forever because it doesnt degrade"
"control","s155","2",18,"that having an hour of exercise/play time before school made the children happier and have more energy"
"control","s155","3",9,"cheaper products that could replace your disposable cleaning products"
"control","s155","4",16,"in the next five years large companies will be facing 1 trillion in climate change risks"
"control","s156","10",NA,NA
"control","s156","11",NA,NA
"control","s156","12",NA,NA
"control","s156","9",NA,NA
"control","s157","1",17,"What are the companies going to do when climate change affects them in the next 5 years."
"control","s157","2",15,"The rate in which people slow down is not as quickly as most people think"
"control","s157","3",9,"How to help your partner with their eating disorder"
"control","s157","4",11,"How exercise before school helps children feel happier and more energetic"
"control","s158","1",11,"That a lot of people don't really know much about G.M.O."
"control","s158","2",17,"Don't really understand if this article is about automakers changing their forecast for spring or something else?"
"control","s158","3",17,"Fighting colds and flu is really about luck, genetics and lifestyle... not so much about immune system"
"control","s158","4",9,"Losing your hearing may make you more accident prone"
"control","s159","10",17,"This article is about using supplements in order to help with muscle aches after one works out."
"control","s159","11",10,"This article is about climate change and reducing carbon emissions."
"control","s159","12",14,"This article is about how cows contribute to climate change and a climate report."
"control","s159","9",13,"This article is about obtaining a permit to work in mines in Australia."
"control","s160","1",NA,NA
"control","s160","2",NA,NA
"control","s160","3",NA,NA
"control","s160","4",NA,NA
"control","s161","10",NA,NA
"control","s161","11",NA,NA
"control","s161","12",NA,NA
"control","s161","9",NA,NA
"control","s162","10",NA,NA
"control","s162","11",NA,NA
"control","s162","12",NA,NA
"control","s162","9",NA,NA
"control","s163","1",NA,NA
"control","s163","2",NA,NA
"control","s163","3",NA,NA
"control","s163","4",NA,NA
"control","s164","5",NA,NA
"control","s164","6",NA,NA
"control","s164","7",NA,NA
"control","s164","8",NA,NA
"control","s165","1",NA,NA
"control","s165","2",NA,NA
"control","s165","3",NA,NA
"control","s165","4",NA,NA
"control","s166","10",NA,NA
"control","s166","11",NA,NA
"control","s166","12",NA,NA
"control","s166","9",NA,NA
"control","s167","10",12,"The article states that S.U.V.s are fast becoming the most used cars."
"control","s167","11",22,"The article highlights measures that can help reduce the size of plaques in the arteries and the risk of a heart attack."
"control","s167","12",12,"The article is about the United States blocking declaration on climate change."
"control","s167","9",9,"This article is about wellness; the importance of fitness."
"control","s168","10",NA,NA
"control","s168","11",NA,NA
"control","s168","12",NA,NA
"control","s168","9",NA,NA
"control","s169","5",13,"Flavanoid-rich foods can help lower the risk for cancer and cardiovascular health."
"control","s169","6",7,"Americans can save energy by staying home."
"control","s169","7",16,"People who eat processed meat have at least a 9% increased chance of getting breast cancer."
"control","s169","8",11,"People are building homes in flood zones regardless of climate change."
"control","s170","10",NA,NA
"control","s170","11",NA,NA
"control","s170","12",NA,NA
"control","s170","9",NA,NA
"control","s171","5",NA,NA
"control","s171","6",NA,NA
"control","s171","7",NA,NA
"control","s171","8",NA,NA
"control","s172","5",NA,NA
"control","s172","6",NA,NA
"control","s172","7",NA,NA
"control","s172","8",NA,NA
"control","s173","5",NA,NA
"control","s173","6",NA,NA
